City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
413,Tyup,KG,60.84,scattered clouds,42.73,78.36,"Gostevoy Dom ""Aldayar"""
415,Cajabamba,PE,70.12,clear sky,-7.62,-78.05,HOSTAL LA ALAMEDA
417,Sesheke,ZM,66.2,scattered clouds,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
418,Kambove,CD,61.72,clear sky,-10.88,26.6,Couvant des soeurs catholiques
422,Margate,GB,66.0,light rain,51.38,1.39,Premier Inn Margate hotel
425,Komatipoort,ZA,60.01,clear sky,-25.43,31.95,Kruger View Backpackers
435,Ankang,CN,71.08,overcast clouds,32.68,109.02,安琪酒店
438,Along,IN,72.84,light rain,28.17,94.77,Hotel West
441,Akersberga,SE,64.0,scattered clouds,59.48,18.3,Best Western The Public Hotel
446,Emet,TR,63.52,clear sky,39.34,29.26,Emet Thermal Resort Spa
453,Khorixas,,60.73,clear sky,-20.37,14.97,Khorixas Lodge
454,Vao,NC,70.27,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
457,La Ronge,CA,69.8,broken clouds,55.1,-105.28,Northland Motor Hotel
463,Porto Santo,PT,73.4,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
464,Argenta,IT,73.99,light rain,44.61,11.84,B&B La Salghè
469,Tongliao,CN,68.5,light rain,43.61,122.27,Meirujia Hotel
471,Gorazde,BA,73.4,broken clouds,43.67,18.98,Motel Fejzić
478,Caravelas,BR,67.87,light rain,-17.71,-39.25,Pousada dos Navegantes
484,Saint-Joseph,RE,66.2,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
486,Rocky Mountain House,CA,67.14,clear sky,52.37,-114.92,Walking Eagle Inn & Lodge
487,Luanda,AO,69.8,scattered clouds,-8.84,13.23,EPIC SANA Luanda
491,Kutum,SD,69.69,heavy intensity rain,14.2,24.67,Dibbo areaمنطقة دبو
495,Yatou,CN,74.43,scattered clouds,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
498,Flin Flon,CA,71.6,broken clouds,54.77,-101.86,Victoria Inn Flin Flon
502,Shingu,JP,74.26,clear sky,33.73,135.98,Shingu UI Hotel
504,Yuzhno-Kurilsk,RU,61.95,scattered clouds,44.03,145.86,Guesthouse Berloga
505,Lata,PT,72.0,clear sky,40.16,-8.33,Casa Maquia
510,Dombarovskiy,RU,60.82,broken clouds,50.76,59.54,
522,Ntcheu,MW,62.04,overcast clouds,-14.82,34.64,Dear Executive Lodge
523,Havre-Saint-Pierre,CA,60.8,broken clouds,50.23,-63.6,Auberge Niapiskau
524,Hualmay,PE,66.38,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
532,Tianpeng,CN,75.0,light rain,30.99,103.94,Shuangliu Love Home Business Hotel
533,Fontem,CM,66.09,moderate rain,5.47,9.88,Vista Palace Hotel
535,Rawson,AR,65.08,overcast clouds,-43.3,-65.1,Hotel Punta León
545,Kletskaya,RU,62.76,clear sky,49.31,43.06,Nochnoy Klub U Yulechki
549,Chicama,PE,72.88,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
555,Kluang,MY,73.99,mist,2.03,103.33,Hotel Anika
556,Foz,ES,64.0,clear sky,43.57,-7.25,Hotel Balcón de San Bartolo
558,Moindou,NC,68.0,overcast clouds,-21.69,165.68,Gite de la RYAWA
566,Querfurt,DE,66.99,clear sky,51.38,11.6,Hotel Zur Sonne
567,Lososina,RU,60.1,overcast clouds,49.0,140.31,"Хостел ""Пилигрим"""
570,Vangaindrano,MG,65.23,clear sky,-23.35,47.6,Hotel Fanilo
572,Budogoshch,RU,61.74,overcast clouds,59.28,32.47,Piligrim
578,Ushtobe,KZ,71.19,overcast clouds,45.25,77.98,"Gostinitsa ""Diyar"""
584,Sao Joao Da Barra,BR,71.6,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
586,Kangavar,IR,64.4,clear sky,34.5,47.97,محمد جوادرضایی
591,Noumea,NC,73.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
592,Saryozek,KZ,68.92,broken clouds,44.36,77.98,Gostinitsa
598,San Isidro,PE,66.2,broken clouds,-12.12,-77.05,Radisson Hotel Decapolis Miraflores
603,Shu,KZ,73.72,few clouds,43.6,73.76,Shyngyzkhan
606,Haverfordwest,GB,66.0,overcast clouds,51.8,-4.97,Silverdale Lodge
609,Lazareni,RO,68.0,light rain,46.87,22.07,
612,Beloha,MG,65.98,clear sky,-25.17,45.05,
614,Lahat,ID,71.69,overcast clouds,-3.8,103.53,Bukit Serelo Hotel
621,Pergamino,AR,72.0,clear sky,-33.89,-60.57,Hotel Fachinat
622,Elk Plain,US,73.0,clear sky,47.05,-122.4,Loveland Mobile Estates
623,Wegorzewo,PL,60.33,clear sky,54.22,21.74,Gościniec przy Kei
